,ssn,first_name,middle_name,last_name,age_at_consultation,birth_date,gender,street_address,suburb,postcode,state,phone,email,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,current_age,education,occupation,salary,years_of_experience
18,i193981091,Brandy,Nicole,Taylor,32,18/12/1985,F, 5  akuna  street  waldorf  arcade  waldorf  apartments , Canberra  City ,2601,ACT, 02  9052  3109 ,taylor72@mail.com,175,82,27,75,147,0,vomiting,33,diploma,automotive-worker,72986.06823,14
19,c191933111,Corey,Robert,Mills,50,14/5/1966,M, 69  pywells  road  yarra  glen ,Luskintyre,2321,NSW, 02  0141  5905 ,corey.mills@gmail.com,197,88,23,73,179,0,drowsiness,48,masters-degree,ict-professional,117189,29
22,d197932465,Gerald,Kent,Baker,30,28/4/1985,F, 18  cooradilla  street  raaf  base ,Darwin,800,NT, 08  1564  9718 ,baker51@hotmail.com,196,81,21,78,171,0,red/purple-blotches-on-calves,35,advance-diploma,health-professional,96381.27896,16
23,b163574862,Octavia,Rose,Stancil,59,6/1/1961,F, 41  cavenagh  street  plaza  bldg ,Darwin,800,NT, 08  8405  1851 ,stancil2@yahoo.com,169,137,48,74,190,0,coughing,57,bachelor-degree,ict-technician,116483,38
26,h194736658,Cory,Dean,Williams,47,26/2/1968,M, 1870  toolamba  road  mayherling ,Murchison,3610,VIC,,williams43@yahoo.com,187,120,34,70,144,0,neck-ache,52,masters-degree,ict-professional,144964,33
27,i175910357,James,Samuel,Basilio,49,9/12/1967,F, 10  dann  close  brindabella  centre ,Garran,2605,ACT, 02  5641  8352 ,james.basilio@mail.com,193,141,38,67,228,0,bruising,52,graduate-certificate,ict-professional,87428,33
32,i102366235,Donald,Louie,Susa,62,4/9/1953,M, 3  state  farm  road  house  4 ,Kairi,4872,QLD, 02  0223  6492 ,susa.donald@hotmail.com,171,81,28,79,236,0,left-thumb-discomfort,67,certificate-iii,other-technician,138404,48
35,c188184074,Ronald,Hubert,Bizzell,46,10/11/1969,M, 111  boronia  road  stumps ,Bullaburra,2784,NSW, 02  3525  1876 ,bizzell.ronald@gmail.com,183,125,37,77,304,0,dry-mouth,51,certificate-i,carer,52468.85135,32
36,g123607695,Sharyka,Kim,Sullivan,56,16/10/1960,F, 24  breaker  street  the  inlet , Main  Beach ,4217,QLD, 07  2810  9614 ,sdbmqsjlej@yahoo.com,194,56,15,77,174,0,allergy,58,secondary-school,cleaner,17175,39
42,f129958965,Andrew,James,Philyaw,68,10/7/1950,M, 5  marine  parade  watego's  beach , Byron  Bay ,2481,NSW, 02  0753  2914 ,andrew.philyaw@yahoo.com,168,66,23,70,147,0,urinary-tract-infection,70,masters-degree,education-professional,125150,51
43,i181870295,Riyad,Branson,Holden,47,4/10/1971,F, 380  pembertons  road  windara , Vite  Vite ,3325,VIC, 03  6239  2380 ,riyad77@yahoo.com,178,135,43,78,139,0,episodic-dizziness,49,diploma,other-technician,90343.69369,30
46,d164779459,Michael,Jamison,Farrow,58,16/10/1957,M, 7  keith  lane  level  one , Fannie  Bay ,820,NT, 08  7827  8589 ,michael73@hotmail.com,194,101,27,76,237,1,dizziness/light-headedness/-unsteady-with-falls.-md-referred-to-pt,63,secondary-school,other-labourer,17948,44
51,g113506551,Gerline,Diann,Narvaez,53,28/2/1964,F, 38  robinsons  access  warrawilla ,Beranghi,2440,NSW, 02  0463  6641 ,hljoqrqisb@yahoo.com,195,137,36,76,199,0,worsening-post-herpatic-neurolgic-pain,56,bachelor-degree,other-technician,108846,37
53,d180126588,Vera,Ellen,Langley,65,3/3/1950,Null, 81  willandra  road  willandra  village ,Narraweena,2099,NSW, 02  4394  9044 ,vera.langley@hotmail.com,189,148,41,73,208,0,double-vision,68,bachelor-degree,education-professional,110276.0175,49
54,a129741510,Robert,Franklin,Cavenaugh,61,4/10/1958,M, 160  black  hills  road  coraville ,Whitemore,7303,TAS, 03  3364  1638 ,cavenaugh89@hotmail.com,169,129,45,77,147,0,basal-cell-carcinoma,62,certificate-iv,other-technician,90343.69369,43
57,c166372098,Lemarr,Lee,Beaver,17,2/2/1999,F, 100  harold  street  salford  park ,Wantirna,3152,VIC, 03  0787  7427 ,lemarr48@mail.com,177,85,27,69,241,0,wandering,21,certificate-iv,other-technician,136043,2
59,i158084149,Mark,Floyd,Balman,28,4/9/1988,M, 1  kooroogamma  road  sunlong  sub  division ,Moree,2400,NSW, 02  0610  7900 ,mark62@mail.com.au,176,55,18,78,169,0,left-hand-trauma,29,certificate-iii,other-technician,100954,10
61,a110028590,Andre,Clyde,Machia,21,31/7/1995,F, 30  ruddocks  road  kanimbla ,Lakesland,2572,NSW, 02  0948  8393 ,,167,59,21,69,187,0,right-hip-replacement-surgery,25,advance-diploma,ict-technician,106143.119,6
62,d101701180,Caroly,Wright,Tarrer,17,25/12/2001,F, 448  boundary  street  mein  street , Spring  Hill ,4000,QLD, 07  5777  3603 ,caroly90@hotmail.com,184,87,26,71,120,0,sweating-secondary-to-menopause-hot-flashes,19,advance-diploma,ict-technician,125444,0
64,c186139965,David,Dale,Thomas,59,2/5/1959,M, 91  diagonal  road  masonic  village , Somerton  Park ,5044,SA, 08  3374  4366 ,david.thomas@yahoo.com,184,86,25,71,256,0,ankle-swelling,60,certificate-ii,automotive-worker,83040,41
65,f103444794,Lynley,Ann,Hudson,69,7/4/1947,Null, 171  david  low  way  edgewater  village , Bli  Bli ,4560,QLD, 07  5230  4604 ,ednodlpnkb@yahoo.com,198,120,31,75,59,0,total-hip-replacement,73,certificate-iii,other-technician,93729,54
66,f124446363,Bernard,Ronald,Crowder,54,27/3/1961,F, 401  colooli  road  anzac  building ,Narrabeen,2101,NSW, 02  2949  4830 ,bernard47@mail.com,199,80,20,74,188,0,drowsiness,58,certificate-ii,construction-worker,60111.77897,39
69,d160541858,Robert,Leo,Leggett,30,22/3/1985,M, 250  baltimore  parade  raafa  estate ,Merriwa,6030,WA, 08  4690  7429 ,pqlaeapspf@hotmail.com,173,87,29,71,115,0,worsening-diabetes,35,certificate-i,personal-assistant,28321.9005,16
70,f127852034,Ben,Deangelo,Merritt,6,31/10/2014,M, 117  vasey  crescent  villa  8 ,Campbell,2612,ACT,,kthogtosdq@yahoo.com,115,20,15,73,194,0,hypertension,6,primary-school,,0,0
72,e173520733,Patrick,Luther,Wescott,57,21/8/1958,F, 21  cavenagh  street  the  metro ,Darwin,800,NT, 08  0509  2308 ,wescott74@mail.com,187,101,29,71,201,0,small-bowel-obstruction,61,certificate-iii,other-technician,114775,42
73,h123313858,Brian,James,Hathaway,24,15/6/1991,M, 32  macrossan  street  admiralty  quays ,Brisbane,4000,QLD, 07  4143  4931 ,hathaway.brian@mail.com.au,191,71,19,76,162,0,drowsiness,28,secondary-school,part-time-worker,9760,9
74,i199784873,Christopher,Darrell,Longen,68,12/5/1948,M, 477  mount  shamrock  road  fairview ,Biggenden,4621,QLD, 07  8762  6906 ,christopher76@yahoo.com,198,133,34,79,203,0,frozen-shoulder,71,diploma,other-technician,78801,52
75,a148777242,Dennis,Stephen,Little,28,11/1/1989,Null, 23  granite  street  rose  court  garden ,Stanthorpe,4380,QLD, 07  0998  7633 ,dennis.little@mail.com.au,176,100,32,73,165,0,right-leg-pain,31,graduate-diploma,legal-professional,144283,12
78,g187953046,Ronald,Edward,Bowser,51,3/11/1967,M, 43  st  marks  road  flt  12 ,Randwick,2031,NSW, 02  8743  1344 ,ronald.bowser@aol.com,178,104,33,73,148,0,glaucoma-eye-surgery,46,secondary-school,machinary-driver,15791,27
81,c102820850,Hiawatha,Maxwell,Hamlett,70,14/4/1943,F, 190  oak  road  sth  road ,Kirrawee,2232,NSW, 02  7664  9288 ,hiawatha13@mail.com.au,177,73,23,79,123,0,post-lumbar-puncture-neck-pain,75,bachelor-degree,ict-technician,108565,56
86,a163277059,Jacqueline,Brooks,Hines,30,6/6/1987,F, 139  highett  street  flt  90 ,Richmond,3121,VIC, 03  7452  0664 ,rrkalijtro@yahoo.com,187,89,25,78,199,0,balance-difficulties,33,diploma,other-technician,100620,14
89,f130824700,Shan-tez,Patrick,Rivers,44,28/8/1975,F, 381  great  western  highway  springwood  nursing  home ,Springwood,2777,NSW, 02  9111  4664 ,rivers86@hotmail.com,197,55,14,71,186,0,diarrhea,45,advance-diploma,ict-professional,97664,26
91,d130006619,Ronnie,Todd,Gallagher,24,26/4/1991,M, 817  maidens  brush  road  henry  kendall  vlge ,Wyoming,2250,NSW, 02  5883  6073 ,cppfnnnsem@mail.com,184,110,32,72,234,0,muscle-spasms,29,graduate-certificate,legislator,183146,10
92,e147717154,Zeb,Hall,Adams,66,8/4/1949,F, 97  poinciana  avenue  cooloola  centre ,Tewantin,4565,QLD, 07  8881  5028 ,zeb79@aol.com,166,86,31,75,191,0,progression-of-alzheimer's,69,certificate-ii,other-worker,93057,50
96,a180739085,Charlie,Simon,Joseph,27,10/4/1987,M, 35  lorraine  avenue  berkeley  vlge , Berkeley  Vale ,2261,NSW, 02  9348  9946 ,joseph86@mail.com,167,98,35,82,245,0,knee-pain-for-several-years,30,diploma,engineering-worker,51521,11
97,f149390611,Eric,Todd,Tremmel,14,28/5/2001,Null, 2  lookout  road  croudace  house , New  Lambton ,2305,NSW, 02  8457  0183 ,eric.tremmel@yahoo.com,141,62,31,75,63,0,low-energy,19,certificate-iv,engineering-worker,72260.26866,0
98,f158187502,Sarah,Laurie,Cooper,12,5/7/2003,F, 13  alcheringa  lane  morningstar ,Bingie,2537,NSW, 02  7310  9832 ,cooper.sarah@hotmail.com,130,50,30,75,182,0,right-foot-drop,17,senior-secondary-school,casual-worker,0,2
100,g166326191,Ronald,Winslow,Cash,50,11/9/1968,Null, 87  morala  avenue  mornington  quays , Runaway  Bay ,4216,QLD, 07  3133  9965 ,caihllokkc@aol.com,189,78,22,76,98,0,trouble-breathing,52,secondary-school,part-time-worker,9606,33
101,d127934653,Deveareaux,Ray,Bowick,31,25/11/1988,F, 245  markley's  road  purchdale , Mirboo  North ,3871,VIC, 03  7501  6862 ,drsgoqetsr@yahoo.com,184,103,30,80,250,0,agitation/aggression,31,certificate-iii,other-technician,93415,12
102,g120829338,Thomas,Dwayne,Walker,19,29/3/1992,M, 41  hd  joyce  pt  sec , Lucindale  South ,5272,SA, 08  0106  3740 ,thomas.walker@mail.com,168,135,48,74,129,0,dry-eyes-bilaterally,23,certificate-iii,ict-technician,83774,4
103,c185572607,Lydia,Clifton,Thomas,42,24/6/1976,F, 68  poinciana  avenue  tewantin  medical  centre ,Tewantin,4565,QLD,,thomas.lydia@mail.com.au,184,96,28,75,143,0,vomiting-with-gi-virus,41,certificate-iv,other-technician,106617,22
104,i148501008,Andrea,Carmen,Berube,54,18/2/1965,F, 3  hamilton  court  amaroo  retrmnt  vlge ,Gosnells,6110,WA, 08  2548  1824 ,berube.andrea@aol.com,194,100,27,75,287,0,bronchitis,52,certificate-iii,other-technician,81058,33
105,c166866173,Patricia,Greene,Mclean,26,2/11/1990,F, 308  hogarth  road  robsley ,Clifton,4361,QLD, 07  2812  9871 ,patricia.mclean@aol.com,191,142,39,76,147,0,depression,23,advance-diploma,education-professional,110276.0175,4
106,d116840151,John,Leroy,Gerland,56,26/10/1957,F, 76  rusty  lane  north  arm , East  Branxton ,2335,NSW, 02  7571  1507 ,john62@mail.com.au,170,84,29,73,276,0,increased-urinary-frequency,61,bachelor-degree,ict-professional,117689,42
107,i135084015,Teresa,Elizabeth,Potts,20,6/7/1994,F, 36  mountford  crescent  villa  68 ,Albury,2640,NSW, 02  0551  8491 ,teresa96@gmail.com,175,108,35,75,144,0,1-cm-ecchymosis-at-lumbar-puncture-site,25,certificate-iii,other-technician,107239.8861,6
108,g198810902,Robert,Lane,Mcmillan,10,10/10/2006,M, 55  fischers  lane  ellaswood  street ,Ellaswood,3875,VIC, 03  4258  3574 ,robert43@yahoo.com,144,38,18,69,181,0,increased-depressed-mood,14,secondary-school,,0,0
109,i150254096,Booker,L,Michael,27,30/11/1991,M, 26  old  murrindindi  road  tikaluna ,Glenburn,3717,VIC, 03  0200  2467 ,booker.michael@aol.com,181,138,42,73,41,0,wife-(study-partner)-reports-symptoms-of-depression,22,certificate-ii,carer,32797,3
110,f122635439,James,Ray,Henderson,27,27/2/1991,M, 24  commins  street  cooinda  aged  hostil ,Junee,2663,NSW, 02  3863  1207 ,henderson8@gmail.com,197,113,29,71,120,1,musculoskeletal-pain-in-knees,29,graduate-diploma,education-professional,110276.0175,10
111,d116240293,Scott,Carlton,Willis,60,31/10/1958,F, 466  burwood  highway  knox  retirement  village , Wantirna  South ,3152,VIC, 03  1763  2578 ,scott.willis@yahoo.com,197,68,18,79,230,1,abdominal-discomfort,62,certificate-iv,ict-technician,94238,43
112,h188745735,Walter,,Spears,14,1/4/2001,F, 1060  waterworks  road  walton  way  townhouses , The  Gap ,4061,QLD, 07  0022  5178 ,spears43@yahoo.com,152,84,36,77,168,0,fell,19,advance-diploma,education-professional,114555,0
116,a167337732,Dorothy,Shumpert,Hyland,10,7/3/2010,Null, 1  nangana  road  flt  5 ,Murrumbeena,3163,VIC, 03  7055  7270 ,frgbgrdjds@aol.com,120,30,21,80,195,0,boil-on-upper-thigh,10,primary-school,,0,0
118,g193530067,Joseph,Miller,Dugan,54,9/6/1963,M, 55  jesmond  road  birchwood ,Croydon,3136,VIC,,joseph.dugan@aol.com,169,66,23,73,138,0,abdominal-discomfort,54,certificate-ii,health-support-worker,69568,35
119,i115082080,Kevin,Kyle,Jordan,62,21/11/1952,M, 35  goodfellows  road  pines  caravan  park ,Kallangur,4503,QLD, 07  4046  7762 ,jordan31@mail.com.au,190,139,39,80,265,0,back-pain-radiating-to-hip-&-knee,67,certificate-iii,ict-technician,148630,48
120,g176604854,Alvin,William,Brooks,23,20/11/1993,M, 362  high  street  cent  city  caravan  park , Golden  Square ,3555,VIC, 03  6323  9928 ,brooks82@mail.com.au,168,74,26,75,130,0,depression,26,secondary-school,construction-labourer,8975.778689,7
123,b180022366,Tracy,Ramseur,John,24,8/5/1990,F, 7  oatland  esplanade  leeward  tower , Runaway  Bay ,4216,QLD, 07  2809  1254 ,john.tracy@aol.com,167,78,28,74,200,1,cough,29,advance-diploma,ict-professional,91945.44737,10
124,f174326538,Brett,Charles,Wood,20,23/6/1999,Null, 115  bullcreek  drive  air  force  memorial  est , Bull  Creek ,6149,WA, 08  7905  7900 ,wood30@gmail.com,194,68,18,71,38,0,dry-mouth,21,diploma,automotive-worker,78735,2
126,a159246490,Lauren,Smith,Stowers,7,24/12/2013,F, 8  redruth  court  ellice  hill  este ,Spreyton,7310,TAS, 03  1863  5934 ,lauren.stowers@hotmail.com,122,26,17,67,117,0,abdominal-discomfort,7,primary-school,,0,0
127,a152773339,Timothy,Daniel,Vinson,74,16/12/1942,M, 14  college  lane  riverside  garden ,Douglas,4814,QLD,,vinson.timothy@hotmail.com,192,112,30,70,58,0,hypertension-with-manifestation-in-swollen-ankles,78,diploma,re-tired,0,45
130,e142732453,Albert,Matthew,Royster,7,10/6/2013,M, 3859  deviney  road  pinelands  industrial  estate ,Berrimah,828,NT, 08  7610  7078 ,albert.royster@mail.com,123,25,17,68,114,0,trabeculectomy-on-right-eye,7,primary-school,,0,0
133,e159647275,Louis,F,Moreau,21,9/3/1994,M, 2  bilsden  street  kalgoorlie  vlge  caravn  park , Kalgoorie  West ,6430,WA, 08  3708  5306 ,moreau.louis@hotmail.com,178,79,25,67,87,0,torn-rotator-cuff-right-shoulder,26,certificate-iii,other-technician,106379,7
136,b192911837,Christopher,Dwayne,Wright,57,15/11/1959,F, 28  djarindjin  street  hse  28 ,Roebuck,6725,WA,,wright.christopher.ho@mail.com,170,103,36,85,140,0,upper-stomach-irritation,57,certificate-iv,construction-worker,93873,38
137,b163072105,Henry,Perry,Macon,55,21/3/1957,Null, 1  milikapiti  street  snake  bay , Melville  Island ,822,NT,,henry.macon@mail.com.au,197,68,18,68,165,0,sciatica-pain,59,senior-secondary-school,secretary,31470,40
140,c175313277,Herman,Nichols,Araujo,16,31/8/1999,M, 32  watt  circuit  the  annie , West  Lakes  Shore ,5020,SA, 08  9027  8757 ,gcfkpctron@gmail.com,176,89,29,73,218,0,cataract-surgery-right-eye,21,bachelor-degree,health-professional,111823.5775,2
142,e175124260,David,Mckinley,Avent,82,15/4/1934,F, 190  oak  road  sth  road ,Kirrawee,2232,NSW, 02  1196  6496 ,,181,143,44,81,153,0,complications-following-spinal-surgery,86,senior-secondary-school,re-tired,0,45
144,a179643861,Chelsea,Glenn,Higgins,40,25/1/1974,M, 42  gordon  street  coffs  medical  centre , Coffs  Harbour ,2450,NSW, 02  8308  3285 ,qedbbqmcte@hotmail.com,173,129,43,70,100,0,urinary-dribbling,44,certificate-iv,engineering-worker,72260.26866,25
145,h172307324,Rodney,Noah,Hill,66,7/12/1952,M, 1  roberts  road  bynde  haven , Dundee  Beach ,840,NT, 08  2687  6020 ,rodney.hill@mail.com,195,98,26,69,123,0,fall,66,certificate-ii,personal-services-worker,53460.88171,47
146,e127944133,Austin,Gray,Boyd,27,21/8/1992,F, 2  henrietta  street  aprt  18a ,Hawthorn,3122,VIC, 03  4517  5301 ,austin7@aol.com,167,101,36,71,156,0,acromioclavicular-post-contusion-pain-(left),25,graduate-diploma,education-professional,110276.0175,6
147,c162154405,Danny,T,Harrell,21,19/7/1996,F, 15  marathon  drive  glyn , Mount  Eliza ,3930,VIC, 03  4465  5374 ,harrell.danny@hotmail.com,176,89,29,73,123,0,fractured-vertebra-(t12),24,certificate-iv,construction-worker,73104.78571,5
148,i148065328,Richard,Tan,Cheek,31,22/1/1986,Null, 45  merrigan  street  hillview ,Kyogle,2474,NSW, 02  7036  0701 ,richard67@mail.com.au,199,109,28,79,6,0,drowsiness,34,advance-diploma,other-technician,107239.8861,15
149,f143767309,Randy,Antonio,Denney,12,3/4/2004,Null, 930  gympie  road  cooper  house ,Chermside,4032,QLD, 07  7716  2933 ,,136,55,30,67,226,0,fell-on-buttocks-while-putting-out-his-garbage,16,senior-secondary-school,casual-worker,0,3
150,b178774606,Joshua,Ray,Christmas,48,15/1/1966,Null, 123  willandra  road  villa  32 ,Cromer,2099,NSW, 02  1074  9587 ,christmas.joshua@mail.com,172,72,24,73,274,0,dizzy-spells,50,certificate-iii,other-technician,125201,31
151,h146077523,Stephen,Roy,Conrad,9,29/5/2011,M, 903  maidens  brush  road  henry  kendall  vlge ,Wyoming,2250,NSW, 02  5803  9457 ,stephen.conrad@mail.com.au,137,39,21,75,182,0,pain-in-lumbar-area.,9,primary-school,,0,0
155,e160283861,Matthew,S,Spain,62,12/5/1953,M, 135  crown  street  simpson  house  (the  m  mall ,Wollongong,2500,NSW, 02  7378  8822 ,matthew.spain@gmail.com,173,81,27,77,95,1,somnambulism,64,bachelor-degree,ict-technician,71104,45
157,e124634431,Marvin,Charles,Baker,49,2/8/1970,M, 1  staten  island  court  mariner  views , Patterson  Lakes ,3197,VIC, 03  2905  7279 ,marvin.baker@aol.com,186,108,31,78,228,0,dizziness,49,graduate-certificate,legislator,172170,30
158,i138368702,Ronald,Scott,Hill,20,4/8/1998,M, 405  kalawarra  road  henry  kendall  vlge ,Wyoming,2250,NSW, 02  1594  8641 ,hill36@mail.com.au,176,84,27,71,199,0,right-knee-replacement,22,certificate-i,carer,41468.22344,3
164,i194131096,John,Keith,Hunsinger,18,8/1/2001,F, 71  chocolyn  road  maloneys  road ,Kariah,3260,VIC, 03  3575  4903 ,hunsinger.john@aol.com,186,64,18,76,185,1,fidgetting-hands-and-fingers,19,advance-diploma,other-technician,140852,0
166,g186220394,Harold,David,Hall,64,27/10/1952,F, 514  tall  timbers  road  macquarie  shores  van  park , Lake  Munmorah ,2259,NSW, 02  2983  5347 ,hall59@aol.com,190,111,31,82,192,0,full-body-hives,68,certificate-iii,other-technician,139044,49
168,a114014239,Jonathan,Barry,Burr,41,10/10/1973,M, 104  birch  road  adelene  vlge ,Wyoming,2250,NSW, 02  4456  7821 ,jonathan55@gmail.com,170,85,29,70,204,0,skin-cancer-removed-from-forehead,45,senior-secondary-school,cleaner,18598,26
171,d132218640,Ronald,Garland,Myrick,69,23/8/1947,M, 334  ryans  road  wyandah , The  Lagoon ,2795,NSW, 02  0173  8301 ,msopqtodjn@yahoo.com,184,84,25,79,151,0,dry-mouth,72,advance-diploma,legal-professional,116463,53
172,d149107536,Franklin,Michael,Tolley,56,2/7/1960,M, 60  kalinda  drive  ocean  gardns  retrmnt  vlge , City  Beach ,6015,WA, 08  0932  9409 ,tolley.franklin@hotmail.com,185,82,24,76,233,1,fall,60,bachelor-degree,other-technician,118246,41
175,b154029809,Ronald,Shaliq,Mason,48,13/12/1966,M, 4  wandarra  road  rosewood  garden ,Dubbo,2830,NSW, 02  0596  7061 ,ronald.mason@mail.com.au,183,99,30,82,203,0,mild-pain-in-the-right-arm's-tricep-brachili.,52,secondary-school,un-employed,3987,33
177,c184003143,Jerry,Wayne,Kieffer,32,3/8/1984,F, 68  waveney  street  ainslie  house , Launceston  South ,7249,TAS, 03  3290  4925 ,nhrboncoig@mail.com,189,97,27,70,272,1,sweating,34,certificate-iv,ict-technician,106143.119,15
178,d151355679,Richard,Christopher,Rouviere,41,17/4/1972,F, 10  eucalyptus  drive  one  mile  beach , Anna  Bay ,2316,NSW, 02  5734  3942 ,rouviere.richard@gmail.com,169,110,39,71,127,0,confusion/disoriented/-repeatitiveness,41,graduate-diploma,health-professional,111823.5775,22
180,g160490748,Sherrylynn,Kristen,Vaughan,19,6/8/1999,Null, 2  ettrick  close  villa  1 ,Bomaderry,2541,NSW, 02  4528  2453 ,nscrmpkbag@yahoo.com,180,133,41,77,43,0,abdominal-pain,21,diploma,automotive-worker,61745.61584,2
181,g199980957,Bobbie,Carter,Mays,63,15/7/1952,F, 15  farmer  street  wandana , Mirboo  North ,3871,VIC, 03  4345  5749 ,oqidknrtlt@hotmail.com,187,86,25,79,117,0,post-op-atrial-fibrillation,63,certificate-iv,other-technician,123690,44
182,f128547328,Fred,Manuel,Simmons,36,12/4/1980,Null, 126  margaret  street  flr  2 ,Brisbane,4000,QLD, 07  5420  2186 ,fred.simmons@aol.com,198,94,24,77,136,0,back-pain-in-lumbar-region,37,bachelor-degree,ict-technician,149500,18
183,a113598041,Alec,Milton,Grubert,24,16/9/1990,F, 46  finucane  road  cambridge  road , Alexandra  Hills ,4161,QLD, 07  7239  3031 ,grubert53@hotmail.com,174,115,38,72,128,0,surgery,28,certificate-ii,other-service-worker,53055.61837,9
184,g133743013,Benjamin,Barnard,Allison,58,22/12/1962,M, 3  bedford  street  flt  2 , North  Melbourne ,3051,VIC, 03  0925  4411 ,bgkssqojrr@gmail.com,177,128,41,72,254,0,left-knee-replacement,58,senior-secondary-school,construction-labourer,12873,39
185,e170873567,Paul,T,Hawkins,47,1/2/1968,M, 349  new  south  head  road  flt  801 , Double  Bay ,2028,NSW, 02  9646  3804 ,hawkins4@yahoo.com,170,76,26,72,122,0,gastroesophageal-reflux-disease,52,certificate-iii,ict-technician,140495,33
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
